"","WordForm","LemmaCase","Frequency"
"1","жена","жена_nom_Sg",576
"2","жене","жена_gen_Sg",229
"3","жени","жена_dat_Sg",55
"4","жену","жена_acc_Sg",167
"5","женом","жена_ins_Sg",39
"6","жени","жена_loc_Sg",16
"7","жене","жена_nom_Pl",415
"8","жена","жена_gen_Pl",336
"9","женама","жена_dat_Pl",33
"10","жене","жена_acc_Pl",136
"11","женама","жена_ins_Pl",24
"12","женама","жена_loc_Pl",4
"13","жеља","жеља_nom_Sg",179
"14","жеље","жеља_gen_Sg",54
"15","жељи","жеља_dat_Sg",7
"16","жељу","жеља_acc_Sg",95
"17","жељом","жеља_ins_Sg",30
"18","жељи","жеља_loc_Sg",43
"19","жеље","жеља_nom_Pl",102
"20","жеља","жеља_gen_Pl",164
"21","жељама","жеља_dat_Pl",3
"22","жеље","жеља_acc_Pl",84
"23","жељама","жеља_ins_Pl",14
"24","жељама","жеља_loc_Pl",7
"25","живот","живот_nom_Sg",991
"26","живота","живот_gen_Sg",1004
"27","животу","живот_dat_Sg",100
"28","живот","живот_acc_Sg",799
"29","животом","живот_ins_Sg",142
"30","животу","живот_loc_Sg",248
"31","животи","живот_nom_Pl",22
"32","живота","живот_gen_Pl",30
"33","животима","живот_dat_Pl",3
"34","животе","живот_acc_Pl",52
"35","животима","живот_ins_Pl",5
"36","животима","живот_loc_Pl",2
"37","шетња","шетња_nom_Sg",33
"38","шетње","шетња_gen_Sg",10
"39","шетњи","шетња_dat_Sg",1
"40","шетњу","шетња_acc_Sg",29
"41","шетњом","шетња_ins_Sg",5
"42","шетњи","шетња_loc_Sg",12
"43","шетње","шетња_nom_Pl",6
"44","шетњи","шетња_gen_Pl",5
"45","шетњама","шетња_dat_Pl",1
"46","шетње","шетња_acc_Pl",11
"47","шетњама","шетња_ins_Pl",2
"48","шетњама","шетња_loc_Pl",2
"49","ширина","ширина_nom_Sg",16
"50","ширине","ширина_gen_Sg",28
"51","ширини","ширина_dat_Sg",3
"52","ширину","ширина_acc_Sg",17
"53","ширином","ширина_ins_Sg",20
"54","ширини","ширина_loc_Sg",17
"55","ширине","ширина_nom_Pl",11
"56","ширина","ширина_gen_Pl",12
"57","ширинама","ширина_dat_Pl",2
"58","ширине","ширина_acc_Pl",23
"59","ширинама","ширина_ins_Pl",2
"60","ширинама","ширина_loc_Pl",3
"61","школа","школа_nom_Sg",124
"62","школе","школа_gen_Sg",231
"63","школи","школа_dat_Sg",4
"64","школу","школа_acc_Sg",106
"65","школом","школа_ins_Sg",25
"66","школи","школа_loc_Sg",76
"67","школе","школа_nom_Pl",47
"68","школа","школа_gen_Pl",124
"69","школама","школа_dat_Pl",2
"70","школе","школа_acc_Pl",62
"71","школама","школа_ins_Pl",8
"72","школама","школа_loc_Pl",75
"73","шума","шума_nom_Sg",230
"74","шуме","шума_gen_Sg",177
"75","шуми","шума_dat_Sg",14
"76","шуму","шума_acc_Sg",146
"77","шумом","шума_ins_Sg",76
"78","шуми","шума_loc_Sg",140
"79","шуме","шума_nom_Pl",148
"80","шума","шума_gen_Pl",176
"81","шумама","шума_dat_Pl",6
"82","шуме","шума_acc_Pl",113
"83","шумама","шума_ins_Pl",17
"84","шумама","шума_loc_Pl",23
"85","чамац","чамац_nom_Sg",28
"86","чамца","чамац_gen_Sg",14
"87","чамцу","чамац_dat_Sg",3
"88","чамац","чамац_acc_Sg",34
"89","чамцем","чамац_ins_Sg",11
"90","чамцу","чамац_loc_Sg",18
"91","чамци","чамац_nom_Pl",17
"92","чамаца","чамац_gen_Pl",13
"93","чамцима","чамац_dat_Pl",1
"94","чамце","чамац_acc_Pl",4
"95","чамцима","чамац_ins_Pl",3
"96","чамцима","чамац_loc_Pl",2
"97","чежња","чежња_nom_Sg",118
"98","чежње","чежња_gen_Sg",77
"99","чежњи","чежња_dat_Sg",5
"100","чежњу","чежња_acc_Sg",40
"101","чежњом","чежња_ins_Sg",43
"102","чежњи","чежња_loc_Sg",16
"103","чежње","чежња_nom_Pl",52
"104","чежња","чежња_gen_Pl",18
"105","чежњама","чежња_dat_Pl",1
"106","чежње","чежња_acc_Pl",30
"107","чежњама","чежња_ins_Pl",4
"108","чежњама","чежња_loc_Pl",3
"109","чело","чело_nom_Sg",69
"110","чела","чело_gen_Sg",148
"111","челу","чело_dat_Sg",4
"112","чело","чело_acc_Sg",159
"113","челом","чело_ins_Sg",75
"114","челу","чело_loc_Sg",158
"115","чела","чело_nom_Pl",10
"116","чела","чело_gen_Pl",1
"117","челима","чело_dat_Pl",1
"118","чела","чело_acc_Pl",19
"119","челима","чело_ins_Pl",2
"120","челима","чело_loc_Pl",2
"121","чињеница","чињеница_nom_Sg",74
"122","чињенице","чињеница_gen_Sg",11
"123","чињеници","чињеница_dat_Sg",2
"124","чињеницу","чињеница_acc_Sg",24
"125","чињеницом","чињеница_ins_Sg",5
"126","чињеници","чињеница_loc_Sg",9
"127","чињенице","чињеница_nom_Pl",19
"128","чињеница","чињеница_gen_Pl",15
"129","чињеницама","чињеница_dat_Pl",1
"130","чињенице","чињеница_acc_Pl",10
"131","чињеницама","чињеница_ins_Pl",7
"132","чињеницама","чињеница_loc_Pl",3
"133","члан","члан_nom_Sg",239
"134","члана","члан_gen_Sg",96
"135","члану","члан_dat_Sg",15
"136","члана","члан_acc_Sg",12
"137","чланом","члан_ins_Sg",11
"138","члану","члан_loc_Sg",25
"139","чланови","члан_nom_Pl",248
"140","чланова","члан_gen_Pl",265
"141","члановима","члан_dat_Pl",36
"142","чланове","члан_acc_Pl",81
"143","члановима","члан_ins_Pl",30
"144","члановима","члан_loc_Pl",4
"145","човек","човек_nom_Sg",968
"146","човека","човек_gen_Sg",359
"147","човеку","човек_dat_Sg",109
"148","човека","човек_acc_Sg",206
"149","човеком","човек_ins_Sg",36
"150","човеку","човек_loc_Sg",53
"151","људи","човек_nom_Pl",975
"152","људи","човек_gen_Pl",525
"153","људиима","човек_dat_Pl",124
"154","људе","човек_acc_Pl",403
"155","људима","човек_ins_Pl",71
"156","људима","човек_loc_Pl",26
"157","академија","академија_nom_Sg",30
"158","академије","академија_gen_Sg",43
"159","академији","академија_dat_Sg",2
"160","академију","академија_acc_Sg",15
"161","академијом","академија_ins_Sg",10
"162","академији","академија_loc_Sg",7
"163","академије","академија_nom_Pl",2
"164","академија","академија_gen_Pl",9
"165","академијама","академија_dat_Pl",1
"166","академије","академија_acc_Pl",2
"167","академијама","академија_ins_Pl",1
"168","академијама","академија_loc_Pl",1
"169","апарат","апарат_nom_Sg",24
"170","апарата","апарат_gen_Sg",26
"171","апарату","апарат_dat_Sg",2
"172","апарат","апарат_acc_Sg",27
"173","апаратом","апарат_ins_Sg",9
"174","апарату","апарат_loc_Sg",12
"175","апарати","апарат_nom_Pl",3
"176","апарата","апарат_gen_Pl",24
"177","апаратима","апарат_dat_Pl",1
"178","апарате","апарат_acc_Pl",12
"179","апаратима","апарат_ins_Pl",2
"180","апаратима","апарат_loc_Pl",2
"181","битка","битка_nom_Sg",39
"182","битке","битка_gen_Sg",39
"183","бици","битка_dat_Sg",2
"184","битку","битка_acc_Sg",24
"185","битком","битка_ins_Sg",6
"186","бици","битка_loc_Sg",27
"187","битке","битка_nom_Pl",19
"188","битака","битка_gen_Pl",16
"189","биткама","битка_dat_Pl",1
"190","битке","битка_acc_Pl",26
"191","биткама","битка_ins_Pl",2
"192","биткама","битка_loc_Pl",10
"193","бог","бог_nom_Sg",152
"194","бога","бог_gen_Sg",57
"195","богу","бог_dat_Sg",58
"196","бога","бог_acc_Sg",78
"197","богом","бог_ins_Sg",13
"198","богу","бог_loc_Sg",12
"199","богови","бог_nom_Pl",28
"200","богова","бог_gen_Pl",14
"201","боговима","бог_dat_Pl",4
"202","богове","бог_acc_Pl",7
"203","боговима","бог_ins_Pl",4
"204","боговима","бог_loc_Pl",1
"205","боја","боја_nom_Sg",53
"206","боје","боја_gen_Sg",102
"207","боји","боја_dat_Sg",1
"208","боју","боја_acc_Sg",91
"209","бојом","боја_ins_Sg",34
"210","боји","боја_loc_Sg",144
"211","боје","боја_nom_Pl",100
"212","боја","боја_gen_Pl",139
"213","бојама","боја_dat_Pl",6
"214","боје","боја_acc_Pl",89
"215","бојама","боја_ins_Pl",24
"216","бојама","боја_loc_Pl",25
"217","бол","бол_nom_Sg",361
"218","бола","бол_gen_Sg",419
"219","болу","бол_dat_Sg",29
"220","бол","бол_acc_Sg",229
"221","болом","бол_ins_Sg",124
"222","болу","бол_loc_Sg",66
"223","боли","бол_nom_Pl",51
"224","болова","бол_gen_Pl",35
"225","болима","бол_dat_Pl",2
"226","болове","бол_acc_Pl",65
"227","болима","бол_ins_Pl",7
"228","болима","бол_loc_Pl",3
"229","бор","бор_nom_Sg",61
"230","бора","бор_gen_Sg",37
"231","бору","бор_dat_Sg",2
"232","бор","бор_acc_Sg",9
"233","бором","бор_ins_Sg",8
"234","бору","бор_loc_Sg",3
"235","борови","бор_nom_Pl",39
"236","борова","бор_gen_Pl",37
"237","боровима","бор_dat_Pl",1
"238","борове","бор_acc_Pl",11
"239","боровима","бор_ins_Pl",6
"240","боровима","бор_loc_Pl",2
"241","борац","борац_nom_Sg",85
"242","борца","борац_gen_Sg",33
"243","борцу","борац_dat_Sg",14
"244","борца","борац_acc_Sg",15
"245","борцем","борац_ins_Sg",2
"246","борцу","борац_loc_Sg",4
"247","борци","борац_nom_Pl",105
"248","бораца","борац_gen_Pl",81
"249","борцима","борац_dat_Pl",26
"250","борце","борац_acc_Pl",25
"251","борцима","борац_ins_Pl",6
"252","борцима","борац_loc_Pl",4
"253","бразда","бразда_nom_Sg",14
"254","бразде","бразда_gen_Sg",6
"255","бразди","бразда_dat_Sg",3
"256","бразду","бразда_acc_Sg",18
"257","браздом","бразда_ins_Sg",15
"258","бразди","бразда_loc_Sg",7
"259","бразде","бразда_nom_Pl",31
"260","бразда","бразда_gen_Pl",8
"261","браздама","бразда_dat_Pl",1
"262","бразде","бразда_acc_Pl",49
"263","браздама","бразда_ins_Pl",8
"264","браздама","бразда_loc_Pl",4
"265","брдо","брдо_nom_Sg",34
"266","брда","брдо_gen_Sg",81
"267","брду","брдо_dat_Sg",7
"268","брдо","брдо_acc_Sg",33
"269","брдом","брдо_ins_Sg",19
"270","брду","брдо_loc_Sg",29
"271","брда","брдо_nom_Pl",63
"272","брда","брдо_gen_Pl",63
"273","брдима","брдо_dat_Pl",5
"274","брда","брдо_acc_Pl",72
"275","брдима","брдо_ins_Pl",26
"276","брдима","брдо_loc_Pl",30
"277","брид","брид_nom_Sg",4
"278","брида","брид_gen_Sg",4
"279","бриду","брид_dat_Sg",1
"280","брид","брид_acc_Sg",4
"281","бридом","брид_ins_Sg",3
"282","бриду","брид_loc_Sg",5
"283","бридови","брид_nom_Pl",4
"284","бридова","брид_gen_Pl",2
"285","бридовима","брид_dat_Pl",1
"286","бридове","брид_acc_Pl",2
"287","бридовима","брид_ins_Pl",2
"288","бридовима","брид_loc_Pl",1
"289","брига","брига_nom_Sg",50
"290","бриге","брига_gen_Sg",28
"291","бризи","брига_dat_Sg",5
"292","бригу","брига_acc_Sg",44
"293","бригом","брига_ins_Sg",13
"294","бризи","брига_loc_Sg",10
"295","бриге","брига_nom_Pl",21
"296","брига","брига_gen_Pl",51
"297","бригама","брига_dat_Pl",1
"298","бриге","брига_acc_Pl",30
"299","бригама","брига_ins_Pl",7
"300","бригама","брига_loc_Pl",3
"301","бригада","бригада_nom_Sg",83
"302","бригаде","бригада_gen_Sg",67
"303","бригади","бригада_dat_Sg",14
"304","бригаду","бригада_acc_Sg",28
"305","бригадом","бригада_ins_Sg",11
"306","бригади","бригада_loc_Sg",13
"307","бригаде","бригада_nom_Pl",57
"308","бригада","бригада_gen_Pl",74
"309","бригадама","бригада_dat_Pl",1
"310","бригаде","бригада_acc_Pl",15
"311","бригадама","бригада_ins_Pl",4
"312","бригадама","бригада_loc_Pl",4
"313","брод","брод_nom_Sg",106
"314","брода","брод_gen_Sg",79
"315","броду","брод_dat_Sg",6
"316","брод","брод_acc_Sg",35
"317","бродом","брод_ins_Sg",35
"318","броду","брод_loc_Sg",38
"319","бродови","брод_nom_Pl",89
"320","бродова","брод_gen_Pl",51
"321","бродовима","брод_dat_Pl",6
"322","бродове","брод_acc_Pl",40
"323","бродовима","брод_ins_Pl",14
"324","бродовима","брод_loc_Pl",3
"325","бура","бура_nom_Sg",83
"326","буре","бура_gen_Sg",51
"327","бури","бура_dat_Sg",11
"328","буру","бура_acc_Sg",30
"329","буром","бура_ins_Sg",26
"330","бури","бура_loc_Sg",38
"331","буре","бура_nom_Pl",39
"332","бура","бура_gen_Pl",20
"333","бурама","бура_dat_Pl",6
"334","буре","бура_acc_Pl",27
"335","бурама","бура_ins_Pl",5
"336","бурама","бура_loc_Pl",2
"337","цена","цена_nom_Sg",184
"338","цене","цена_gen_Sg",43
"339","цени","цена_dat_Sg",1
"340","цену","цена_acc_Sg",87
"341","ценом","цена_ins_Sg",7
"342","цени","цена_loc_Sg",55
"343","цене","цена_nom_Pl",104
"344","цена","цена_gen_Pl",85
"345","ценама","цена_dat_Pl",1
"346","цене","цена_acc_Pl",34
"347","ценама","цена_ins_Pl",6
"348","ценама","цена_loc_Pl",62
"349","цеста","цеста_nom_Sg",56
"350","цесте","цеста_gen_Sg",50
"351","цести","цеста_dat_Sg",2
"352","цесту","цеста_acc_Sg",23
"353","цестом","цеста_ins_Sg",40
"354","цести","цеста_loc_Sg",76
"355","цесте","цеста_nom_Pl",47
"356","цеста","цеста_gen_Pl",25
"357","цестама","цеста_dat_Pl",3
"358","цесте","цеста_acc_Pl",36
"359","цестама","цеста_ins_Pl",9
"360","цестама","цеста_loc_Pl",14
"361","циљ","циљ_nom_Sg",72
"362","циља","циљ_gen_Sg",55
"363","циљу","циљ_dat_Sg",30
"364","циљ","циљ_acc_Sg",70
"365","циљем","циљ_ins_Sg",25
"366","циљу","циљ_loc_Sg",112
"367","циљеви","циљ_nom_Pl",15
"368","циљева","циљ_gen_Pl",11
"369","циљевима","циљ_dat_Pl",10
"370","циљеве","циљ_acc_Pl",18
"371","циљевима","циљ_ins_Pl",4
"372","циљевима","циљ_loc_Pl",6
"373","дан","дан_nom_Sg",860
"374","дана","дан_gen_Sg",1615
"375","дану","дан_dat_Sg",72
"376","дан","дан_acc_Sg",814
"377","даном","дан_ins_Sg",96
"378","дану","дан_loc_Sg",116
"379","дани","дан_nom_Pl",547
"380","дана","дан_gen_Pl",853
"381","данима","дан_dat_Pl",12
"382","дане","дан_acc_Pl",573
"383","данима","дан_ins_Pl",65
"384","данима","дан_loc_Pl",75
"385","даљина","даљина_nom_Sg",50
"386","даљине","даљина_gen_Sg",116
"387","даљини","даљина_dat_Sg",6
"388","даљину","даљина_acc_Sg",59
"389","даљином","даљина_ins_Sg",20
"390","даљини","даљина_loc_Sg",128
"391","даљине","даљина_nom_Pl",61
"392","даљина","даљина_gen_Pl",83
"393","даљинама","даљина_dat_Pl",9
"394","даљине","даљина_acc_Pl",112
"395","даљинама","даљина_ins_Pl",13
"396","даљинама","даљина_loc_Pl",15
"397","дело","дело_nom_Sg",87
"398","дела","дело_gen_Sg",66
"399","делу","дело_dat_Sg",13
"400","дело","дело_acc_Sg",68
"401","делом","дело_ins_Sg",29
"402","делу","дело_loc_Sg",74
"403","дела","дело_nom_Pl",64
"404","дела","дело_gen_Pl",60
"405","делима","дело_dat_Pl",4
"406","дела","дело_acc_Pl",71
