"","WordForm","LemmaCase","Frequency"
"1","žena","žena_nom_Sg",576
"2","žene","žena_gen_Sg",229
"3","ženi","žena_dat_Sg",55
"4","ženu","žena_acc_Sg",167
"5","ženom","žena_ins_Sg",39
"6","ženi","žena_loc_Sg",16
"7","žene","žena_nom_Pl",415
"8","žena","žena_gen_Pl",336
"9","ženama","žena_dat_Pl",33
"10","žene","žena_acc_Pl",136
"11","ženama","žena_ins_Pl",24
"12","ženama","žena_loc_Pl",4
"13","želja","želja_nom_Sg",179
"14","želje","želja_gen_Sg",54
"15","želji","želja_dat_Sg",7
"16","želju","želja_acc_Sg",95
"17","željom","želja_ins_Sg",30
"18","želji","želja_loc_Sg",43
"19","želje","želja_nom_Pl",102
"20","želja","želja_gen_Pl",164
"21","željama","želja_dat_Pl",3
"22","želje","želja_acc_Pl",84
"23","željama","želja_ins_Pl",14
"24","željama","želja_loc_Pl",7
"25","život","život_nom_Sg",991
"26","života","život_gen_Sg",1004
"27","životu","život_dat_Sg",100
"28","život","život_acc_Sg",799
"29","životom","život_ins_Sg",142
"30","životu","život_loc_Sg",248
"31","životi","život_nom_Pl",22
"32","života","život_gen_Pl",30
"33","životima","život_dat_Pl",3
"34","živote","život_acc_Pl",52
"35","životima","život_ins_Pl",5
"36","životima","život_loc_Pl",2
"37","šetnja","šetnja_nom_Sg",33
"38","šetnje","šetnja_gen_Sg",10
"39","šetnji","šetnja_dat_Sg",1
"40","šetnju","šetnja_acc_Sg",29
"41","šetnjom","šetnja_ins_Sg",5
"42","šetnji","šetnja_loc_Sg",12
"43","šetnje","šetnja_nom_Pl",6
"44","šetnji","šetnja_gen_Pl",5
"45","šetnjama","šetnja_dat_Pl",1
"46","šetnje","šetnja_acc_Pl",11
"47","šetnjama","šetnja_ins_Pl",2
"48","šetnjama","šetnja_loc_Pl",2
"49","širina","širina_nom_Sg",16
"50","širine","širina_gen_Sg",28
"51","širini","širina_dat_Sg",3
"52","širinu","širina_acc_Sg",17
"53","širinom","širina_ins_Sg",20
"54","širini","širina_loc_Sg",17
"55","širine","širina_nom_Pl",11
"56","širina","širina_gen_Pl",12
"57","širinama","širina_dat_Pl",2
"58","širine","širina_acc_Pl",23
"59","širinama","širina_ins_Pl",2
"60","širinama","širina_loc_Pl",3
"61","škola","škola_nom_Sg",124
"62","škole","škola_gen_Sg",231
"63","školi","škola_dat_Sg",4
"64","školu","škola_acc_Sg",106
"65","školom","škola_ins_Sg",25
"66","školi","škola_loc_Sg",76
"67","škole","škola_nom_Pl",47
"68","škola","škola_gen_Pl",124
"69","školama","škola_dat_Pl",2
"70","škole","škola_acc_Pl",62
"71","školama","škola_ins_Pl",8
"72","školama","škola_loc_Pl",75
"73","šuma","šuma_nom_Sg",230
"74","šume","šuma_gen_Sg",177
"75","šumi","šuma_dat_Sg",14
"76","šumu","šuma_acc_Sg",146
"77","šumom","šuma_ins_Sg",76
"78","šumi","šuma_loc_Sg",140
"79","šume","šuma_nom_Pl",148
"80","šuma","šuma_gen_Pl",176
"81","šumama","šuma_dat_Pl",6
"82","šume","šuma_acc_Pl",113
"83","šumama","šuma_ins_Pl",17
"84","šumama","šuma_loc_Pl",23
"85","čamac","čamac_nom_Sg",28
"86","čamca","čamac_gen_Sg",14
"87","čamcu","čamac_dat_Sg",3
"88","čamac","čamac_acc_Sg",34
"89","čamcem","čamac_ins_Sg",11
"90","čamcu","čamac_loc_Sg",18
"91","čamci","čamac_nom_Pl",17
"92","čamaca","čamac_gen_Pl",13
